strategy,date,status,Return [%],Buy & Hold Return [%],Return (Ann.) [%],Sharpe Ratio,Sortino Ratio,Max. Drawdown [%],Win Rate [%],# Trades,Profit Factor,Expectancy [%],Avg. Trade [%],Calmar Ratio,Equity Final [$],Equity Peak [$],Avg. Trade Duration,Max. Trade Duration,file,error
BandSurgeADX,04_22_2025,SUCCESS,-78.78495,308.05832,-38.78769,-3.69598,-2.93015,-80.81694,30.73394,436,0.61861,-0.53944,-0.56978,-0.47995,212150.49266,1044277.64956,0 days 23:07:00,32 days 17:15:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_22_2025/backtests_final/BandSurgeADX_BTFinal.py,
BandwidthBreakout,04_22_2025,SUCCESS,0.0,133.61713,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_22_2025/backtests_final/BandwidthBreakout_BTFinal.py,
ChaikinBreakout,04_22_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,    has_cmf_confirmation = (all(v > 0 for v in cmf_values) or all(v < 0 for v in cmf_values) |                            ^ | SyntaxError: '(' was never closed
DualBreakoutVolume,04_22_2025,SUCCESS,-97.02932,307.45526,0.0,,,-97.02932,11.78248,1324,0.19247,-0.38094,-0.38277,0.0,29706.7844,1000000.0,2.41239,13.0,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_22_2025/backtests_final/DualBreakoutVolume_BTFinal.py,
DynamicBreakoutX,04_22_2025,SUCCESS,0.0,308.05832,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_22_2025/backtests_final/DynamicBreakoutX_BTFinal.py,
LiquidationReversal,04_22_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,    rolling_percentile = bb_width.rolling(672).quantile(0.2) |                          ^^^^^^^^^^^^^^^^ | AttributeError: 'numpy.ndarray' object has no attribute 'rolling'
LiquidityBreakout,04_22_2025,SUCCESS,0.0,308.50141,0.0,,,-0.0,,0,,,,,1000000.0,1000000.0,NaN,NaN,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_22_2025/backtests_final/LiquidityBreakout_BTFinal.py,
MomentumBreakout,04_22_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,    equity = self.broker.equity |              ^^^^^^^^^^^ | AttributeError: 'MomentumBreakout' object has no attribute 'broker'. Did you mean: '_broker'?
SqueezeSurge,04_22_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"    bt = Backtest(data, SqueezeSurge, commission=.002, exclusive_orders=True) |                   ^^^^ | NameError: name 'data' is not defined"
VolSqueezeBreakout,04_22_2025,SUCCESS,-28.18172,308.47842,-9.94891,-1.79261,-1.94573,-31.47614,23.63636,55,0.44193,-0.76644,-0.78718,-0.31608,718182.81082,1025628.24911,0 days 12:41:00,2 days 21:00:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_22_2025/backtests_final/VolSqueezeBreakout_BTFinal.py,
VolatilityBreakout,04_22_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 806, in new_order |     raise ValueError( | ValueError: Long orders require: SL (23100.289855532243) < LIMIT (22998.9) < TP (23407.76521670163)"
VolatilityConvergence,04_22_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""BB_Upper"" error. See traceback above."
VolatilitySpikeReversal,04_22_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/_util.py"", line 178, in __getattr__ |     raise AttributeError(f""Column '{item}' not in data"") from None | AttributeError: Column 'funding_rate' not in data"
VolatilitySurgeBreakout,04_22_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"    self.bbwp = self.I(ta.percentrank, self.bb_width, length=self.bbwp_window) * 100 |                        ^^^^^^^^^^^^^^ | AttributeError: module 'pandas_ta' has no attribute 'percentrank'. Did you mean: 'percent_rank'?"
VolatilitySurge,04_22_2025,SUCCESS,-27.7405,308.47842,-9.77414,-0.81656,-1.03259,-37.28282,36.43411,258,0.9615,-0.06288,-0.13353,-0.26216,722594.98571,1127521.39165,2 days 10:39:00,56 days 08:00:00,/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/src/data/rbi/04_22_2025/backtests_final/VolatilitySurge_BTFinal.py,
VortexSqueeze,04_22_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 143, in I |     raise RuntimeError(f'Indicator ""{name}"" error. See traceback above.') from e | RuntimeError: Indicator ""calculate…(H,L,C)"" error. See traceback above."
MACDonchianBreakout,08_08_2025,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"  File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/venv/lib/python3.12/site-packages/backtesting/backtesting.py"", line 1225, in __init__ |     raise ValueError(""`data` must be a pandas.DataFrame with columns "" | ValueError: `data` must be a pandas.DataFrame with columns 'Open', 'High', 'Low', 'Close', and (optionally) 'Volume'"
AdaptiveWaveReversal,rbi,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,    handle = open( |              ^^^^^ | FileNotFoundError: [Errno 2] No such file or directory: 'data.csv'
AtrReversion,rbi,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,"File ""/Users/juanignaciopercovich/Desktop/personal-projects/moon-dev-ai-agents/tmp8wrx3k_m.py"", line 41 |     "", EMA period ="", self.ema_period, "", Keltner Multiplier ="", self.keltner_mult) | IndentationError: unexpected indent"
GapAdvantage,rbi,RUNTIME_ERROR,,,,,,,,,,,,,,,,,,    Moon Dev Debug AI 🌙 has fixed the technical issues – Happy Backtesting and may the Moon guide your trades! |                       ^ | SyntaxError: invalid character '🌙' (U+1F319)
